ID,LastBillAmount,LatePaymentCount,LatePaymentCharges,BillMonthlyDate,AccessoriesPaid,AvgMonthlySpend,PaymentType
1102,61.23,0,0.00,17,0.00,61.23,Auto
1103,187.30,5,46.83,3,0.00,187.96,CC
1104,68.44,1,3.43,17,18.21,68.76,CC
1105,111.19,7,38.92,17,0.00,111.52,CC
1106,149.76,3,22.47,17,0.00,150.00,CC
1107,108.29,0,0.00,3,0.00,108.29,Auto
1108,61.12,0,0.00,17,0.00,61.12,CC
1109,46.20,2,4.62,17,45.17,49.32,CK
1110,100.38,0,0.00,17,0.00,100.38,CC
1111,173.60,4,34.72,3,0.00,174.19,CC
1112,128.29,0,0.00,3,0.00,128.29,Auto
1113,88.77,0,0.00,17,13.64,90.72,CC
1114,87.37,0,0.00,17,0.00,87.37,CC
1115,177.78,0,0.00,17,0.00,177.78,Auto
1116,85.29,0,0.00,3,0.00,85.29,Auto
1117,127.34,3,19.11,17,0.00,127.66,CC
1118,82.53,0,0.00,3,0.00,82.53,Auto
1119,82.36,1,4.12,17,12.77,82.72,CC
1120,81.08,7,28.38,3,0.00,81.39,ACH
1121,147.66,0,0.00,3,0.00,147.66,Auto
1122,104.96,0,0.00,3,0.08,104.97,Auto
1123,109.48,4,21.90,3,37.76,110.65,PP
1124,83.19,0,0.00,17,0.00,83.19,Auto
1125,80.47,2,8.05,17,0.00,80.57,CC
1126,173.13,6,51.94,3,50.59,174.36,CC
1127,101.23,1,5.07,3,0.00,101.50,CC
1128,103.98,0,0.00,17,0.00,103.98,Auto
1129,171.70,4,34.34,3,58.86,175.43,CK
1130,84.20,1,4.21,17,44.85,84.61,CC
1131,61.82,0,0.00,3,57.27,80.91,CC
1132,173.28,7,60.65,17,38.41,175.64,CK
1133,143.40,0,0.00,17,0.00,143.40,CC
1134,86.04,0,0.00,3,38.94,86.38,Auto
1135,66.61,0,0.00,3,56.53,67.11,Auto
1136,103.20,0,0.00,3,57.97,110.45,Auto
1137,62.65,0,0.00,17,57.68,69.86,Auto
1138,100.66,2,10.07,17,45.67,101.18,CC
1139,109.06,1,5.46,17,40.84,112.63,CC
1140,81.77,0,0.00,3,0.00,81.77,CC
1141,121.20,8,48.48,3,0.00,121.66,CC
1142,85.27,0,0.00,3,45.04,87.23,Auto
1143,85.86,0,0.00,3,0.00,85.86,Auto
1144,47.41,3,7.12,17,4.76,47.70,CC
1145,105.25,0,0.00,17,1.51,105.28,Auto
1146,84.34,5,21.09,17,0.00,84.61,CC
1147,87.27,0,0.00,17,0.00,87.27,Auto
1148,189.10,1,9.46,3,0.00,189.53,CC
1149,45.16,0,0.00,3,0.00,45.16,Auto
1150,45.52,1,2.28,3,32.68,48.21,PP
1151,196.20,3,29.43,3,0.00,196.96,CC
1152,89.57,0,0.00,17,12.43,90.96,CC
1153,119.49,1,5.98,3,0.00,119.95,CC
1154,89.67,9,40.36,17,54.40,91.40,CK
1155,115.35,3,17.31,3,0.00,115.70,ACH
1156,171.89,0,0.00,17,9.39,172.08,CC
1157,172.12,6,51.64,3,0.00,172.79,CC
1158,115.13,0,0.00,17,6.53,115.73,PP
1159,86.00,3,12.90,17,46.06,87.06,CC
1160,83.11,5,20.78,3,0.00,83.42,CC
1161,88.66,0,0.00,17,0.00,88.66,Auto
1162,116.40,12,69.84,3,0.00,117.39,CK
1163,83.60,0,0.00,17,0.00,83.60,Auto
1164,121.89,3,18.29,3,0.00,122.26,CC
1165,69.19,4,13.84,3,0.00,69.45,PP
1166,103.02,0,0.00,3,0.00,103.02,Auto
1167,103.85,0,0.00,3,50.26,104.86,Auto
1168,149.62,0,0.00,3,0.00,149.62,Auto
1169,145.64,0,0.00,3,0.00,145.64,CK
1170,159.90,6,47.97,3,0.00,160.50,ACH
1171,82.92,0,0.00,17,47.08,83.48,Auto
1172,116.16,2,11.62,17,0.00,116.31,CC
1173,67.60,0,0.00,17,0.00,67.60,ACH
1174,121.00,7,42.35,3,8.52,122.28,CK
1175,61.82,0,0.00,3,0.00,61.82,Auto
1176,118.58,5,29.65,3,0.00,118.99,ACH
1177,192.90,4,38.58,3,0.00,193.66,ACH
1178,101.70,2,10.17,17,0.00,101.98,CC
1179,172.66,0,0.00,3,18.27,172.98,Auto
1180,67.54,2,6.76,3,0.00,67.74,CC
1181,149.99,0,0.00,17,0.00,149.99,Auto
1182,103.50,14,72.45,3,0.00,104.43,CK
1183,49.33,3,7.40,17,53.36,50.93,PP
1184,179.37,0,0.00,17,37.36,179.89,Auto
1185,67.00,9,30.15,17,41.13,67.66,CC
1186,87.60,1,4.38,17,43.30,88.31,CC
1187,105.85,6,31.76,17,45.55,106.73,ACH
1188,41.65,0,0.00,17,2.05,41.78,PP
1189,101.52,0,0.00,17,0.64,101.55,PP
1190,105.00,3,15.75,17,0.00,105.26,CC
1191,64.95,0,0.00,17,0.00,64.95,Auto
1192,144.53,1,7.23,17,40.81,147.97,CC
1193,142.35,1,7.12,17,0.00,142.51,CC
1194,64.77,0,0.00,17,0.00,64.77,Auto
1195,115.60,0,0.00,3,0.00,115.60,Auto
1196,142.10,0,0.00,17,39.14,143.19,Auto
1197,123.14,0,0.00,3,0.00,123.14,Auto
1198,128.28,0,0.00,17,0.00,128.28,Auto
1199,143.87,2,14.39,17,54.78,144.70,CC
1200,112.72,4,22.55,3,0.00,113.13,CC
1201,40.98,0,0.00,3,11.87,41.64,Auto
1202,108.51,5,27.13,3,0.00,108.91,CC
1203,127.54,0,0.00,17,0.00,127.54,Auto
1204,107.54,0,0.00,3,20.82,111.01,CC
1205,88.37,0,0.00,3,41.13,88.73,Auto
1206,175.01,20,175.01,3,28.28,176.77,CK
1207,42.82,0,0.00,17,0.00,42.82,Auto
1208,144.89,0,0.00,17,32.19,145.40,CC
1209,140.12,0,0.00,17,0.00,140.12,PP
1210,149.82,0,0.00,17,19.51,150.05,Auto
1211,141.50,0,0.00,3,0.00,141.50,Auto
1212,107.55,7,37.65,17,12.04,108.09,CC
1213,126.54,2,12.66,17,6.31,127.04,CC
1214,62.54,0,0.00,3,58.72,68.42,CC
1215,124.56,9,56.06,3,28.30,125.31,CC
1216,179.55,1,8.98,17,16.47,182.74,CK
1217,103.62,2,10.37,3,0.00,103.92,CC
1218,197.20,2,19.72,17,0.00,197.62,CC
1219,102.60,4,20.52,3,29.08,103.48,CC
1220,172.02,0,0.00,3,32.36,172.38,Auto
1221,43.66,0,0.00,17,7.61,44.62,CC
1222,118.64,2,11.87,3,0.00,119.49,CK
1223,84.48,7,29.57,3,43.54,85.30,CC
1224,106.19,0,0.00,17,20.98,107.43,CC
1225,110.93,4,22.19,17,0.00,111.76,CK
1226,87.45,3,13.12,3,29.97,88.35,CC
1227,46.96,0,0.00,17,0.00,46.96,CC
1228,69.33,0,0.00,17,0.00,69.33,PP
1229,80.86,6,24.26,3,44.73,81.75,CC
1230,133.80,1,6.69,17,0.00,134.16,PP
1231,85.04,5,21.26,3,0.00,85.37,ACH
1232,146.11,0,0.00,3,0.00,146.11,Auto
1233,81.01,2,8.11,17,21.77,82.88,CK
1234,83.17,4,16.64,17,0.00,83.37,CC
1235,179.54,10,89.77,3,0.00,181.15,CK
1236,115.40,0,0.00,17,0.00,115.40,Auto
1237,171.90,1,8.60,3,45.37,175.50,CC
1238,83.38,4,16.68,17,35.81,83.99,CC
1239,113.75,0,0.00,3,1.95,113.78,Auto
1240,80.01,0,0.00,3,34.90,81.95,Auto
1241,87.95,5,21.99,3,53.30,88.96,ACH
1242,123.77,5,30.95,17,0.00,124.23,CC
1243,128.80,18,115.92,17,40.35,130.35,CK
1244,66.57,0,0.00,17,0.00,66.57,PP
1245,82.24,0,0.00,3,0.00,82.24,Auto
1246,113.60,1,5.68,3,0.00,113.86,CC
1247,163.70,0,0.00,17,0.00,163.70,Auto
1248,117.05,0,0.00,17,9.50,117.85,Auto
1249,103.47,2,10.35,3,0.00,104.27,CK
1250,88.82,0,0.00,17,0.00,88.82,CC
1251,142.07,1,7.11,17,12.86,142.65,CC
1252,108.72,0,0.00,3,0.00,108.72,Auto
1253,140.78,0,0.00,17,0.00,140.78,Auto
1254,89.17,1,4.46,17,2.25,89.73,PP
1255,177.05,5,44.27,3,6.18,177.80,CC
1256,86.38,5,21.60,17,0.00,86.76,PP
1257,68.38,5,17.10,3,0.00,68.64,PP
1258,42.63,0,0.00,3,26.62,44.54,Auto
1259,44.38,0,0.00,3,0.00,44.38,Auto
1260,123.79,1,6.19,3,55.89,126.49,CC
1261,86.77,0,0.00,17,0.00,86.77,CC
1262,88.73,2,8.88,3,53.77,90.48,CC
1263,129.06,1,6.46,17,35.73,133.75,CK
1264,83.58,0,0.00,3,0.00,83.58,Auto
1265,129.44,3,19.42,17,55.35,130.16,CC
1266,124.36,13,80.84,17,0.00,125.47,CK
1267,88.19,0,0.00,17,0.00,88.19,Auto
1268,171.98,0,0.00,3,42.81,175.28,Auto
1269,141.55,0,0.00,3,17.98,144.12,Auto
1270,174.55,0,0.00,17,0.00,174.55,Auto
1271,68.32,0,0.00,3,0.00,68.32,CC
1272,64.07,4,12.82,3,0.00,64.63,CK
1273,171.58,5,42.90,17,2.53,171.97,CC
1274,69.90,0,0.00,3,3.64,70.08,Auto
1275,179.72,5,44.93,3,14.86,181.79,CK
1276,120.56,4,24.12,3,0.00,121.02,CC
1277,40.26,0,0.00,17,31.03,41.46,CC
1278,129.50,1,6.48,17,0.00,129.66,CC
1279,42.50,0,0.00,17,0.00,42.50,Auto
1280,88.98,7,31.15,3,0.00,89.74,CK
1281,89.52,1,4.48,3,1.21,89.86,CC
1282,176.15,0,0.00,17,44.68,178.19,CC
1283,144.07,0,0.00,17,27.24,145.51,CC
1284,111.58,0,0.00,17,0.00,111.58,CC
1285,177.37,13,115.30,3,0.00,178.93,CK
1286,81.64,0,0.00,3,0.00,81.64,Auto
1287,127.78,4,25.56,17,2.00,128.23,CC
1288,93.00,0,0.00,17,0.00,93.00,CC
1289,87.74,0,0.00,17,0.00,87.74,CC
1290,80.83,5,20.21,3,0.00,81.10,PP
1291,142.07,6,42.63,17,41.76,144.49,CK
1292,123.37,0,0.00,17,0.00,123.37,ACH
1293,145.12,0,0.00,3,0.00,145.12,Auto
1294,82.30,0,0.00,17,0.00,82.30,PP
1295,119.56,2,11.96,3,0.00,119.99,PP
1296,114.35,4,22.87,3,18.65,115.17,CC
1297,68.46,3,10.27,17,17.07,69.12,CC
1298,124.96,7,43.74,3,0.00,125.43,CC
1299,111.56,6,33.47,17,30.28,112.48,CC
1300,48.70,2,4.87,3,0.00,48.85,CC
1301,81.32,0,0.00,3,29.76,96.20,PP
1302,171.15,0,0.00,3,0.00,171.15,Auto
1303,45.94,0,0.00,17,0.00,45.94,CC
1304,81.27,0,0.00,3,0.00,81.27,Auto
1305,148.16,0,0.00,3,52.46,156.91,Auto
1306,42.88,4,8.58,17,0.00,43.05,ACH
1307,143.16,0,0.00,3,0.00,143.16,Auto
1308,178.86,0,0.00,17,0.00,178.86,CC
1309,87.35,0,0.00,3,0.00,87.35,Auto
1310,105.17,1,5.26,3,6.34,105.79,CC
1311,139.50,7,48.83,3,0.00,140.06,CC
1312,82.78,10,41.39,3,36.78,84.07,CK
1313,118.57,0,0.00,17,0.00,118.57,Auto
1314,116.27,13,75.58,17,30.49,117.69,CK
1315,49.47,0,0.00,17,12.05,51.20,Auto
1316,87.27,6,26.19,17,0.00,87.67,CC
1317,112.84,5,28.21,3,0.00,113.29,CC
1318,109.87,0,0.00,3,0.00,109.87,Auto
1319,106.12,0,0.00,3,0.00,106.12,PP
1320,145.57,6,43.68,17,19.90,146.25,CC
1321,106.74,10,53.37,17,2.69,107.73,CK
1322,101.54,0,0.00,17,36.59,102.53,Auto
1323,63.25,1,3.17,3,15.02,64.55,CC
1324,142.35,0,0.00,17,34.92,145.53,Auto
1325,122.78,0,0.00,3,42.69,123.37,Auto
1326,121.16,8,48.47,3,46.23,122.01,CC
1327,40.31,7,14.11,17,0.00,40.64,CK
1328,174.42,1,8.73,17,11.69,174.66,CC
1329,140.18,0,0.00,3,0.00,140.18,Auto
1330,42.73,0,0.00,3,40.52,62.99,Auto
1331,86.16,5,21.54,3,59.30,88.95,CK
1332,82.15,1,4.11,17,0.00,82.22,CC
1333,86.55,0,0.00,17,41.50,93.47,CC
1334,170.33,0,0.00,17,44.37,171.05,Auto
1335,47.79,1,2.39,17,0.00,47.90,CC
1336,107.99,0,0.00,17,0.00,107.99,Auto
1337,69.69,7,24.40,17,0.00,69.91,PP
1338,65.59,1,3.28,3,23.51,67.66,CC
1339,143.82,5,35.96,3,0.00,144.34,CC
1340,125.11,3,18.77,3,0.00,125.61,CC
1341,87.06,3,13.06,17,0.00,87.21,CC
1342,69.11,5,17.28,3,0.00,69.37,ACH
1343,124.45,1,6.23,17,0.00,124.56,CC
1344,41.19,0,0.00,17,0.00,41.19,PP
1345,171.30,0,0.00,3,0.00,171.30,Auto
1346,107.21,3,16.09,3,30.48,108.27,CC
1347,133.00,6,39.90,3,0.00,133.50,CC
1348,104.10,8,41.64,3,0.00,104.97,CK
1349,88.57,15,66.43,17,0.00,89.33,CK
1350,62.60,4,12.52,17,0.00,62.81,CC
1351,123.39,0,0.00,17,0.00,123.39,Auto
1352,118.58,0,0.00,3,0.00,118.58,Auto
1353,84.81,0,0.00,3,0.00,84.81,Auto
1354,41.36,0,0.00,17,0.00,41.36,Auto
1355,41.21,0,0.00,3,0.00,41.21,PP
1356,146.09,10,73.05,17,0.00,146.77,CC
1357,131.60,6,39.48,3,0.00,132.73,CK
1358,48.51,0,0.00,17,34.04,50.14,Auto
1359,177.94,4,35.59,3,0.00,178.64,CC
1360,119.59,8,47.84,17,0.60,120.05,CC
1361,175.67,0,0.00,17,11.81,175.79,Auto
1362,107.60,0,0.00,17,34.78,111.95,CC
1363,113.71,0,0.00,17,12.85,114.07,Auto
1364,83.27,7,29.15,3,0.00,83.58,CC
1365,141.49,5,35.38,17,59.28,142.61,CC
1366,129.67,0,0.00,3,0.00,129.67,Auto
1367,82.74,0,0.00,3,0.15,82.89,CK
1368,95.90,2,9.59,3,21.45,97.84,CK
1369,115.97,2,11.60,3,0.00,116.32,ACH
1370,62.94,0,0.00,17,0.00,62.94,CC
1371,103.24,2,10.33,3,0.00,103.57,CC
1372,107.87,3,16.19,3,0.00,108.20,CC
1373,81.82,0,0.00,17,9.86,83.23,CC
1374,116.66,2,11.67,3,0.00,117.11,CC
1375,111.20,1,5.56,3,25.84,112.46,CC
1376,84.32,0,0.00,17,7.05,87.85,CC
1377,107.29,0,0.00,17,24.07,108.44,PP
1378,45.18,0,0.00,17,0.00,45.18,PP
1379,208.50,2,20.85,17,0.00,208.87,CC
1380,106.85,17,90.83,17,0.00,107.78,CK
1381,89.85,3,13.48,3,37.12,91.09,ACH
1382,146.55,9,65.95,3,4.51,147.18,PP
1383,47.98,0,0.00,17,47.54,54.78,CC
1384,114.38,1,5.72,3,0.00,114.77,CC
1385,177.01,3,26.56,3,0.00,177.61,CC
1386,142.42,4,28.49,17,58.37,144.13,CC
1387,105.85,0,0.00,3,43.54,109.81,CC
1388,175.58,9,79.02,3,11.90,176.38,ACH
1389,101.93,0,0.00,17,14.53,102.35,Auto
1390,179.81,4,35.97,17,0.00,180.23,CC
1391,80.08,7,28.03,17,37.11,80.73,ACH
1392,80.01,9,36.01,3,34.57,80.60,CC
1393,62.29,0,0.00,3,0.00,62.29,CC
1394,89.94,0,0.00,3,0.00,89.94,PP
1395,43.44,6,13.04,3,45.02,44.12,CC
1396,47.61,2,4.77,3,51.31,49.55,CC
1397,82.53,1,4.13,17,0.00,82.99,CK
1398,119.94,6,35.99,3,0.00,120.97,CK
1399,114.78,10,57.39,3,57.92,116.68,CK
1400,135.90,0,0.00,3,0.00,135.90,Auto
1401,179.35,7,62.78,3,0.00,179.99,ACH
1402,82.75,1,4.14,3,0.00,83.03,ACH
1403,187.70,20,187.70,3,0.00,189.32,CK
1404,40.06,2,4.01,17,53.25,41.80,CC
1405,123.18,0,0.00,3,0.00,123.18,Auto
1406,179.31,0,0.00,17,56.34,179.78,Auto
1407,109.65,2,10.97,3,26.88,112.02,CK
1408,149.93,3,22.49,3,0.00,150.42,CC
1409,49.43,0,0.00,3,0.00,49.43,Auto
1410,110.71,0,0.00,17,0.00,110.71,CC
1411,42.08,0,0.00,3,0.00,42.08,Auto
1412,129.93,0,0.00,3,33.66,146.76,Auto
1413,106.48,5,26.62,3,37.07,107.38,PP
1414,129.66,3,19.45,17,0.00,130.64,CK
1415,99.70,2,9.97,17,38.27,100.29,CC
1416,46.94,9,21.13,3,29.74,47.38,ACH
1417,87.04,0,0.00,17,0.00,87.04,PP
1418,41.87,0,0.00,17,27.93,42.84,Auto
1419,126.48,0,0.00,3,0.00,126.48,Auto
1420,107.91,1,5.40,3,0.00,108.18,PP
1421,49.22,0,0.00,17,0.00,49.22,Auto
1422,63.22,12,37.94,17,13.65,63.99,CK
1423,126.00,8,50.40,17,0.00,127.03,CK
1424,80.63,16,64.51,17,0.00,81.36,CK
1425,106.35,1,5.32,3,24.72,107.72,CC
1426,119.42,2,11.95,17,28.42,120.22,CC
1427,109.21,0,0.00,17,17.92,110.41,Auto
1428,111.52,0,0.00,3,0.00,111.52,Auto
1429,47.26,0,0.00,3,0.00,47.26,CC
1430,101.29,0,0.00,3,58.05,105.76,Auto
1431,118.41,0,0.00,17,0.00,118.41,Auto
1432,105.49,0,0.00,17,0.00,105.49,Auto
1433,84.40,0,0.00,17,47.36,86.38,CC
1434,123.15,0,0.00,17,31.39,124.28,Auto
1435,105.92,2,10.60,3,0.00,106.25,CC
1436,106.72,0,0.00,17,0.00,106.72,CC
1437,108.58,2,10.86,3,0.00,108.90,CC
1438,89.34,2,8.94,3,0.00,89.66,CC
1439,62.70,4,12.54,3,48.69,63.71,PP
1440,128.00,9,57.60,3,0.00,128.50,CC
1441,148.88,0,0.00,3,34.76,149.25,Auto
1442,140.88,0,0.00,17,21.21,141.34,Auto
1443,126.48,6,37.95,3,5.54,127.03,CC
1444,68.64,4,13.73,17,0.00,68.93,PP
1445,87.69,3,13.16,3,12.85,88.24,ACH
1446,86.78,2,8.68,3,2.66,87.19,PP
1447,116.14,8,46.46,17,57.53,117.16,CC
1448,40.15,0,0.00,17,0.00,40.15,Auto
1449,89.21,0,0.00,17,37.91,89.87,Auto
1450,170.45,1,8.53,3,0.00,170.86,CC
1451,113.40,8,45.36,17,54.28,114.39,CC
1452,127.75,8,51.10,3,0.00,128.25,ACH
1453,88.30,3,13.25,3,1.51,89.04,CK
1454,119.09,3,17.87,3,9.77,119.77,CC
1455,151.50,5,37.88,3,59.75,152.81,CC
1456,141.17,0,0.00,3,22.90,141.39,Auto
1457,126.94,16,101.56,3,0.00,128.06,CK
1458,64.62,1,3.24,17,0.00,64.75,PP
1459,161.30,1,8.07,17,0.00,161.49,CC
1460,109.20,0,0.00,3,0.00,109.20,CC
1461,61.77,0,0.00,3,31.03,63.41,Auto
1462,66.29,6,19.89,3,0.00,66.55,CC
1463,82.54,0,0.00,3,0.00,82.54,Auto
1464,84.60,1,4.23,17,20.92,84.96,CC
1465,119.08,0,0.00,17,0.00,119.08,CC
1466,89.44,0,0.00,3,0.00,89.44,Auto
1467,116.68,1,5.84,3,0.00,117.13,PP
1468,113.50,4,22.70,17,0.00,114.41,CK
1469,109.16,5,27.29,3,0.00,109.57,CC
1470,83.00,1,4.15,17,0.00,83.28,CC
1471,66.02,0,0.00,17,19.00,66.54,Auto
1472,144.23,1,7.22,17,0.00,144.42,CC
1473,69.49,3,10.43,17,22.85,70.11,CC
1474,128.08,8,51.24,3,24.64,128.84,CC
1475,105.28,0,0.00,17,0.00,105.28,CC
1476,108.76,0,0.00,3,0.00,108.76,Auto
1477,115.44,2,11.55,3,52.79,117.46,PP
1478,121.46,7,42.52,3,0.00,122.48,CK
1479,43.16,0,0.00,3,38.60,43.69,Auto
1480,86.86,4,17.38,17,31.10,87.83,ACH
1481,240.00,0,0.00,3,0.00,240.00,Auto
1482,44.89,0,0.00,3,0.00,44.89,Auto
1483,170.59,0,0.00,17,19.90,171.05,Auto
1484,62.02,8,24.81,17,9.77,62.75,CK
1485,110.40,18,99.36,3,0.00,111.36,CK
1486,61.84,2,6.19,3,36.52,63.32,CC
1487,101.98,3,15.30,17,0.00,102.30,PP
1488,109.92,4,21.99,3,0.00,110.35,CC
1489,68.46,0,0.00,3,24.67,68.77,Auto
1490,104.32,0,0.00,17,33.54,104.75,Auto
1491,100.06,2,10.01,3,28.16,101.26,PP
1492,61.92,6,18.58,3,0.00,62.14,CC
1493,87.42,0,0.00,17,34.43,87.90,Auto
1494,148.43,8,59.38,17,0.00,149.00,ACH
1495,246.70,10,123.35,17,0.00,247.80,CC
1496,80.33,3,12.05,3,0.00,80.59,PP
1497,107.01,4,21.41,17,24.69,107.78,CC
1498,116.64,6,35.00,3,0.00,117.05,CC
1499,42.24,1,2.12,3,0.00,42.60,CK
1500,62.79,0,0.00,3,28.16,63.50,Auto
1501,103.73,4,20.75,17,37.89,106.18,CK
1502,40.98,0,0.00,17,36.51,41.92,CC
1503,170.12,0,0.00,17,0.00,170.12,ACH
1504,43.79,2,4.38,3,0.00,43.93,CC
1505,119.05,8,47.62,3,0.00,119.51,ACH
1506,87.97,7,30.79,3,13.82,88.47,CC
1507,126.67,5,31.67,3,12.54,127.32,CC
1508,87.50,0,0.00,17,0.00,87.50,CC
1509,85.66,0,0.00,17,0.00,85.66,Auto
1510,66.90,0,0.00,17,45.11,68.19,CC
1511,43.13,0,0.00,3,0.00,43.13,Auto
1512,66.55,3,9.99,3,0.00,66.79,CC
1513,143.51,8,57.41,3,29.67,144.33,CC
1514,64.20,1,3.21,17,0.00,64.28,CC
1515,124.65,0,0.00,3,0.00,124.65,Auto
1516,87.76,0,0.00,17,0.00,87.76,Auto
1517,81.21,3,12.19,17,4.11,81.40,PP
1518,127.81,1,6.40,3,0.00,128.31,CC
1519,101.04,4,20.21,3,39.51,102.19,CC
1520,61.27,0,0.00,3,0.00,61.27,Auto
1521,117.46,0,0.00,17,0.00,117.46,Auto
1522,88.18,4,17.64,3,0.00,88.48,CC
1523,82.82,7,28.99,3,53.87,83.71,CC
1524,148.53,0,0.00,17,54.46,151.56,CC
1525,85.22,0,0.00,17,1.29,85.31,ACH
