ID,Gender,MaritalStatus,NumChildren,EstIncome,CarOwner,Age,MonthsAsCustomer,MemberShipPlan
1230,F,Single,2,65167,Y,29,19,Unlimited
1231,M,Married,1,55521,Y,35,65,Family Silver
1232,M,Married,5,89351,Y,47,97,Family Platinum
1233,M,Married,1,26673,Y,25,16,Family Silver
1234,M,Married,1,11177,Y,36,87,Family Silver
1235,M,Married,1,14548,Y,37,56,Family Unlimited
1236,F,Single,0,36630,Y,29,77,Platinum
1237,M,Married,0,6229,Y,40,15,Family Unlimited
1238,F,Single,1,18818,N,26,87,Platinum
1239,F,Married,3,46639,N,44,92,Family Gold
1240,M,Single,0,57729,Y,21,18,Platinum
1241,M,Single,0,1027,Y,29,75,Platinum
1242,F,Married,2,34712,N,28,68,Family Military
1243,M,Married,0,13657,Y,36,101,Family Military
1244,F,Single,1,72020,Y,20,10,Gold
1245,F,Single,2,88997,N,22,23,Platinum
1246,M,Married,0,86535,Y,53,22,Family Gold
1247,F,Married,0,66690,Y,51,116,Family Gold
1248,F,Married,2,538182,N,34,12,Family Gold
1249,F,Single,0,746513,N,27,13,Unlimited
1250,F,Single,2,4964,Y,29,6,Platinum
1251,F,Married,0,88594,N,57,35,Family Platinum
1252,M,Single,1,70257,Y,22,32,Unlimited
1253,F,Married,0,345264,Y,50,52,Family Platinum
1254,M,Single,0,60763,N,19,12,Platinum
1255,M,Married,0,66688,Y,44,68,Family Unlimited
1256,M,Married,0,55571,Y,42,57,Family Silver
1257,M,Single,0,39856,Y,24,67,Gold
1258,M,Single,2,94355,Y,21,14,Silver
1259,F,Single,1,41554,N,26,106,Silver
1260,M,Married,0,699165,N,29,23,Family Military
1261,F,Married,0,214616,Y,43,25,Family Silver
1262,F,Single,0,813845,N,20,36,Platinum
1263,F,Married,2,4453,Y,42,9,Family Military
1264,F,Married,0,8652,N,45,102,Family Silver
1265,F,Married,0,53313,Y,36,105,Family Military
1266,M,Married,0,15322,Y,51,73,Family Military
1267,M,Single,0,730589,Y,24,76,Platinum
1268,M,Married,1,71119,Y,33,13,Family Unlimited
1269,F,Married,1,845618,Y,38,7,Family Platinum
1270,M,Married,4,81527,Y,26,90,Family Unlimited
1271,F,Single,0,34994,N,95,1,Gold
1272,F,Single,0,72090,N,27,23,Gold
1273,M,Married,0,42988,Y,72,119,Family Unlimited
1274,F,Single,2,224206,Y,27,21,Gold
1275,M,Married,0,90890,Y,54,29,Family Unlimited
1276,M,Married,0,471090,N,32,53,Family Military
1277,F,Single,0,42946,Y,25,26,Silver
1278,M,Married,0,389470,Y,29,43,Family Military
1279,M,Single,0,18643,N,22,55,Silver
1280,F,Married,0,9113,Y,43,41,Family Silver
1281,M,Married,0,58044,Y,53,17,Family Silver
1282,F,Married,0,97332,Y,31,22,Family Unlimited
1283,F,Married,0,28627,N,39,19,Family Platinum
1284,M,Married,2,98873,Y,36,56,Family Gold
1285,M,Married,0,253,N,44,74,Family Unlimited
1286,M,Single,0,12674,Y,24,56,Platinum
1287,F,Married,0,72893,N,61,62,Family Military
1288,F,Single,2,77590,N,19,15,Platinum
1289,F,Single,0,84423,N,27,39,Platinum
1290,F,Single,0,579590,Y,24,75,Platinum
1291,F,Married,1,57567,N,31,35,Family Platinum
1292,F,Married,2,28426,N,33,36,Family Military
1293,M,Married,2,33962,N,24,12,Family Platinum
1294,F,Single,1,18239,N,18,8,Platinum
1295,M,Married,8,19944,Y,32,28,Family Gold
1296,M,Married,0,4369,Y,49,51,Family Gold
1297,M,Single,1,58017,Y,27,42,Gold
1298,M,Married,0,18723,N,64,95,Family Military
1299,F,Married,2,83784,N,25,70,Family Gold
1300,F,Single,0,21257,Y,20,33,Silver
1301,F,Single,1,95043,Y,18,2,Platinum
1302,M,Married,0,44689,N,53,72,Family Unlimited
1303,F,Single,1,43175,Y,83,12,Silver
1304,M,Single,1,50413,Y,29,53,Platinum
1305,F,Married,1,49753,N,24,6,Family Platinum
1306,F,Single,1,93944,Y,49,52,Silver
1307,M,Married,2,10758,N,29,117,Family Platinum
1308,F,Married,0,17313,N,44,84,Family Unlimited
1309,F,Married,2,61302,Y,31,91,Family Silver
1310,F,Single,0,369807,N,21,19,Unlimited
1311,F,Single,0,48856,Y,27,88,Unlimited
1312,M,Single,1,45327,Y,27,61,Platinum
1313,M,Married,0,24315,Y,43,89,Family Gold
1314,M,Married,0,92867,Y,39,75,Family Gold
1315,F,Single,1,50312,Y,21,7,Silver
1316,F,Married,2,45564,N,34,66,Family Silver
1317,F,Married,0,24245,Y,32,63,Family Gold
1318,F,Single,1,7852,N,21,24,Unlimited
1319,F,Single,0,17511,Y,19,6,Unlimited
1320,F,Married,0,94369,Y,54,94,Family Platinum
1321,M,Single,0,39587,N,25,57,Unlimited
1322,F,Single,1,86064,Y,21,37,Unlimited
1323,F,Single,0,32902,Y,38,14,Gold
1324,F,Married,2,74949,N,42,11,Family Platinum
1325,F,Married,1,63326,Y,29,73,Family Military
1326,F,Married,0,97411,Y,49,112,Family Military
1327,F,Single,1,71402,Y,27,43,Silver
1328,M,Married,1,95719,Y,44,88,Family Unlimited
1329,F,Married,0,33689,Y,54,15,Family Platinum
1330,F,Single,0,446675,N,18,2,Silver
1331,M,Married,0,51785,Y,84,29,Family Silver
1332,M,Single,3,333788,N,25,67,Platinum
1333,F,Single,0,517656,N,19,6,Platinum
1334,M,Married,0,32635,Y,26,62,Family Unlimited
1335,F,Single,0,87944,Y,21,22,Silver
1336,M,Single,1,3188,Y,22,56,Unlimited
1337,F,Single,2,48439,N,27,113,Gold
1338,M,Single,0,68081,N,21,13,Gold
1339,M,Married,5,22918,N,32,70,Family Platinum
1340,M,Married,1,78830,Y,47,38,Family Military
1341,F,Single,0,50704,Y,29,91,Platinum
1342,M,Single,2,564324,N,29,69,Gold
1343,M,Married,1,500188,Y,25,60,Family Military
1344,M,Single,0,256926,Y,54,54,Silver
1345,M,Married,2,14637,Y,36,30,Family Unlimited
1346,F,Single,2,93667,N,21,44,Unlimited
1347,M,Married,0,70803,N,47,81,Family Military
1348,M,Single,1,70678,Y,26,48,Platinum
1349,F,Married,0,15757,N,54,88,Family Silver
1350,F,Single,1,22500,Y,30,61,Gold
1351,F,Married,2,2099,Y,38,115,Family Military
1352,M,Married,0,51200,Y,52,21,Family Gold
1353,M,Single,1,6382,N,22,29,Platinum
1354,F,Single,0,3227,N,18,5,Silver
1355,M,Single,2,929201,Y,21,12,Silver
1356,M,Married,0,6142,Y,51,109,Family Platinum
1357,M,Married,0,896603,N,31,35,Family Silver
1358,M,Single,1,76562,N,19,21,Silver
1359,M,Married,1,31971,Y,50,51,Family Unlimited
1360,F,Married,0,66031,Y,41,106,Family Gold
1361,F,Married,0,79831,N,53,107,Family Unlimited
1362,F,Married,0,69706,Y,79,8,Family Silver
1363,M,Married,2,12907,Y,44,36,Family Gold
1364,M,Married,0,2130,Y,52,96,Family Silver
1365,F,Married,0,59151,Y,36,85,Family Platinum
1366,M,Married,1,55433,Y,25,3,Family Military
1367,M,Single,2,15132,Y,30,1,Platinum
1368,F,Single,1,611294,Y,28,16,Silver
1369,M,Married,2,208029,N,49,34,Family Gold
1370,M,Single,0,73613,Y,20,35,Gold
1371,M,Single,0,56260,N,21,32,Unlimited
1372,M,Single,1,687611,Y,25,50,Unlimited
1373,F,Single,0,60021,Y,23,7,Platinum
1374,F,Married,9,73130,N,46,26,Family Gold
1375,M,Single,0,70150,Y,22,25,Gold
1376,F,Single,1,58401,N,47,2,Platinum
1377,F,Single,0,66064,Y,21,21,Unlimited
1378,M,Single,1,28626,Y,18,2,Silver
1379,M,Married,0,55500,Y,51,57,Family Gold
1380,F,Single,1,69158,Y,82,98,Unlimited
1381,M,Married,1,10992,N,33,41,Family Silver
1382,F,Married,0,35203,N,54,113,Family Platinum
1383,M,Single,1,71066,Y,26,7,Silver
1384,F,Married,2,31721,Y,50,15,Family Gold
1385,M,Married,8,33165,Y,48,45,Family Unlimited
1386,F,Married,0,76519,Y,24,51,Family Platinum
1387,F,Single,1,65727,Y,18,11,Unlimited
1388,M,Married,1,95516,Y,49,115,Family Unlimited
1389,M,Single,1,75967,N,30,35,Unlimited
1390,F,Married,0,70501,Y,74,86,Family Unlimited
1391,F,Married,4,36680,N,51,101,Family Silver
1392,M,Single,0,40850,N,30,120,Platinum
1393,M,Single,0,12751,Y,21,10,Gold
1394,F,Single,1,43258,Y,19,10,Platinum
1395,M,Single,0,13464,Y,27,86,Silver
1396,F,Single,0,63461,Y,30,29,Silver
1397,M,Single,0,90363,N,26,9,Platinum
1398,M,Married,0,35271,Y,50,35,Family Gold
1399,M,Married,2,23516,Y,35,61,Family Gold
1400,F,Married,0,90093,Y,53,95,Family Gold
1401,F,Married,1,81928,N,31,99,Family Unlimited
1402,M,Single,0,88757,Y,28,15,Platinum
1403,M,Single,1,62666,Y,30,116,Unlimited
1404,M,Single,0,55907,Y,29,33,Silver
1405,M,Married,0,53082,Y,52,67,Family Military
1406,M,Married,0,96312,Y,44,120,Family Unlimited
1407,M,Single,1,32063,Y,25,16,Unlimited
1408,M,Married,7,22318,Y,47,46,Family Platinum
1409,F,Single,0,76733,Y,84,80,Silver
1410,F,Married,1,62528,Y,23,2,Family Gold
1411,M,Single,0,15064,Y,22,57,Silver
1412,F,Married,1,76754,Y,48,2,Family Military
1413,F,Single,0,85435,Y,68,71,Unlimited
1414,M,Married,3,90074,N,37,20,Family Military
1415,M,Single,0,10868,Y,25,83,Gold
1416,F,Single,0,68265,Y,28,117,Silver
1417,M,Married,1,45811,Y,43,16,Family Silver
1418,M,Single,0,27650,Y,30,29,Silver
1419,F,Married,2,63991,Y,34,65,Family Military
1420,F,Single,0,8921,Y,19,20,Unlimited
1421,F,Single,1,97376,Y,19,23,Silver
1422,M,Single,2,88800,N,28,67,Gold
1423,F,Married,0,807086,Y,63,49,Family Military
1424,F,Single,0,814488,Y,100,89,Platinum
1425,M,Single,0,98880,Y,19,22,Unlimited
1426,F,Married,0,57271,Y,49,51,Family Gold
1427,F,Single,1,30905,Y,21,15,Unlimited
1428,F,Married,3,99421,Y,25,16,Family Gold
1429,F,Single,0,34611,Y,20,2,Silver
1430,M,Single,1,36691,Y,20,13,Unlimited
1431,M,Married,1,98439,Y,44,101,Family Gold
1432,M,Single,1,25884,N,20,5,Unlimited
1433,M,Single,0,62992,Y,29,24,Platinum
1434,M,Married,0,99388,Y,54,28,Family Military
1435,M,Single,1,3542,Y,30,33,Unlimited
1436,M,Single,0,68624,Y,18,8,Unlimited
1437,M,Single,0,25859,Y,20,35,Unlimited
1438,M,Married,1,212363,Y,35,28,Family Silver
1439,F,Single,0,73586,Y,28,61,Gold
1440,F,Married,7,106114,Y,44,116,Family Military
1441,M,Married,1,86976,Y,43,94,Family Platinum
1442,M,Married,2,191383,N,49,47,Family Platinum
1443,F,Married,9,31127,N,28,80,Family Military
1444,F,Single,1,83513,Y,24,49,Gold
1445,M,Married,0,944580,Y,37,48,Family Silver
1446,M,Married,0,28702,Y,33,28,Family Silver
1447,M,Married,1,45175,Y,52,102,Family Gold
1448,F,Single,1,36879,N,29,33,Silver
1449,M,Married,0,99421,Y,53,58,Family Silver
1450,F,Married,0,83778,Y,39,21,Family Unlimited
1451,M,Married,1,92562,Y,50,101,Family Gold
1452,M,Married,2,677717,Y,50,104,Family Military
1453,F,Single,0,47650,Y,30,20,Platinum
1454,M,Married,0,69117,Y,71,41,Family Gold
1455,M,Married,0,52233,Y,49,75,Family Platinum
1456,F,Married,1,938324,Y,51,109,Family Platinum
1457,F,Married,0,16468,Y,52,91,Family Military
1458,M,Single,0,23386,Y,24,26,Gold
1459,F,Single,1,43635,N,23,44,Platinum
1460,M,Single,2,70352,Y,18,6,Silver
1461,F,Single,0,97008,N,20,19,Gold
1462,F,Single,0,87746,N,83,78,Gold
1463,F,Married,1,8301,Y,41,70,Family Silver
1464,M,Single,0,32801,Y,25,70,Platinum
1465,F,Married,0,98895,Y,28,45,Family Gold
1466,F,Single,2,73684,Y,30,41,Platinum
1467,M,Married,2,65656,N,49,13,Family Gold
1468,F,Single,0,19501,Y,25,25,Silver
1469,F,Single,0,46104,N,28,67,Unlimited
1470,F,Single,0,14567,N,19,15,Platinum
1471,F,Single,0,92973,Y,27,37,Gold
1472,M,Married,1,969020,N,45,40,Family Platinum
1473,F,Single,1,74732,Y,25,54,Gold
1474,M,Married,0,47357,N,33,101,Family Military
1475,M,Single,0,22468,N,25,11,Unlimited
1476,F,Single,0,756680,Y,27,57,Unlimited
1477,M,Married,1,46160,Y,51,32,Family Gold
1478,F,Married,6,145118,N,32,42,Family Military
1479,F,Single,0,128600,N,26,74,Silver
1480,M,Married,0,69809,Y,49,50,Family Silver
1481,M,Married,0,7344,N,32,75,Family Platinum
1482,M,Single,0,50287,Y,25,7,Silver
1483,M,Married,1,44075,N,34,44,Family Unlimited
1484,F,Single,0,69934,Y,28,48,Gold
1485,M,Single,0,11701,N,88,104,Silver
1486,M,Single,0,304897,Y,22,29,Gold
1487,M,Single,0,7711,Y,24,48,Unlimited
1488,M,Single,0,34442,N,25,52,Unlimited
1489,M,Single,1,19348,Y,30,82,Gold
1490,M,Single,1,26659,Y,24,78,Unlimited
1491,F,Single,1,876115,Y,22,32,Unlimited
1492,F,Single,1,52306,Y,25,87,Gold
1493,M,Married,6,1854,Y,44,73,Family Silver
1494,F,Married,0,93516,Y,54,106,Family Platinum
1495,M,Married,1,254751,Y,51,113,Family Unlimited
1496,F,Married,1,87088,Y,48,48,Family Silver
1497,F,Single,0,48121,N,23,60,Unlimited
1498,F,Married,0,752492,Y,48,87,Family Gold
1499,F,Single,6,38595,Y,25,6,Silver
1500,M,Single,0,95521,Y,24,40,Gold
1501,M,Single,2,67282,N,29,24,Unlimited
1502,M,Single,0,16479,N,23,39,Silver
1503,M,Married,0,25539,Y,32,18,Family Unlimited
1504,M,Single,0,40291,Y,20,33,Silver
1505,F,Married,0,14779,Y,32,104,Family Gold
1506,F,Married,0,67089,Y,45,90,Family Silver
1507,F,Married,5,28923,Y,38,69,Family Military
1508,F,Single,0,19659,Y,21,33,Platinum
1509,M,Single,0,291963,Y,30,93,Platinum
1510,F,Single,0,7394,Y,29,35,Gold
1511,M,Single,1,19526,Y,22,59,Silver
1512,M,Single,1,70857,Y,22,42,Gold
1513,F,Married,0,18197,Y,56,107,Family Platinum
1514,F,Single,0,67355,Y,27,44,Silver
1515,M,Married,0,95022,Y,28,82,Family Military
1516,F,Single,1,56623,Y,30,82,Platinum
1517,M,Married,0,31119,N,53,87,Family Silver
1518,M,Married,1,97089,Y,49,13,Family Military
1519,B,Single,1,789086,N,28,52,Unlimited
1520,M,Single,0,26393,N,21,28,Gold
1521,M,Married,1,85840,Y,23,12,Family Gold
1522,M,Single,0,73373,N,22,60,Platinum
1523,M,Married,2,46671,N,27,94,Family Silver
1524,M,Married,1,38726,N,23,18,Family Platinum
1525,F,Married,0,750987,Y,26,16,Family Silver
1526,M,Married,0,23821,N,30,99,Family Platinum
1527,M,Single,0,63845,N,30,11,Gold
1528,F,Married,2,25179,Y,24,56,Family Gold
1529,F,Married,0,95429,Y,53,118,Family Silver
1530,F,Married,0,14760,N,34,57,Family Military
1531,F,Single,0,60924,N,20,32,Silver
1532,M,Married,2,53588,Y,52,78,Family Unlimited
1533,F,Single,0,10458,N,21,33,Silver
1534,M,Married,0,68690,Y,50,51,Family Platinum
1535,M,Single,0,15633,Y,20,33,Silver
1536,F,Married,0,93762,Y,85,11,Family Unlimited
1537,M,Married,0,97991,Y,53,4,Family Unlimited
1538,F,Married,9,28882,N,52,13,Family Unlimited
1539,F,Single,0,71870,Y,23,71,Gold
1540,M,Married,1,51992,Y,38,96,Family Unlimited
1541,F,Married,0,38340,Y,44,58,Family Silver
1542,F,Married,0,7331,Y,33,4,Family Military
1543,M,Single,0,947073,N,27,59,Gold
1544,M,Single,2,3401,N,21,1,Unlimited
1545,F,Single,1,324567,Y,23,65,Platinum
1546,M,Married,0,28645,N,53,116,Family Military
1547,F,Single,1,75355,N,22,21,Platinum
1548,F,Married,1,66828,Y,51,108,Family Unlimited
