"Age","CarOwner","EstIncome","Gender","ID","MaritalStatus","MemberShipPlan","MonthsAsCustomer","NumChildren","AccessoriesPaid","AvgMonthlySpend","BillMonthlyDate","LastBillAmount","LatePaymentCharges","LatePaymentCount","PaymentType","DroppedCalls","SupportCallsYear","SupportCallsMonth","ComplaintsYear","ComplaintsMonth","CHURN"
"27","N","31339","M","11460","Single","Silver","27","0","10.57","45.20","17","44.72","2.24","1","CC","1","23","7","2","1","T"
"20","Y","20439","F","11464","Single","Unlimited","25","1","0.00","107.42","17","107.42","0.00","0","CC","3","9","1","3","2","T"
"21","Y","147052","M","1150","Single","Silver","13","0","32.68","48.21","3","45.52","2.28","1","PP","2","6","6","4","2","T"
"20","Y","98998","M","11512","Single","Platinum","19","0","0.00","89.77","3","89.53","4.48","1","CC","0","3","0","1","0","F"
"25","Y","23566","M","11521","Married","Family Platinum","2","2","0.00","148.80","3","148.80","0.00","0","Auto","1","3","0","2","1","F"
"28","Y","91020","F","11571","Married","Family Unlimited","112","1","0.00","173.53","17","173.53","0.00","0","Auto","2","4","0","3","2","T"
"25","Y","46097","M","11595","Single","Silver","64","0","0.00","48.16","17","48.16","0.00","0","Auto","0","4","0","0","0","F"
"29","Y","85001","F","11632","Single","Silver","37","0","14.02","124.32","17","123.60","12.36","2","CC","1","6","1","0","0","F"
"36","Y","47155","F","1170","Single","Platinum","81","0","0.00","160.50","3","159.90","47.97","6","ACH","5","2","2","2","1","F"
"28","Y","24780","F","11722","Married","Family Military","101","1","0.00","124.43","3","123.93","49.58","8","ACH","0","0","0","2","1","F"
"28","Y","136148","M","11760","Single","Unlimited","112","0","0.00","105.01","17","105.01","0.00","0","Auto","5","0","0","7","5","T"
"30","Y","638790","M","11811","Single","Unlimited","15","1","16.60","105.72","17","104.26","5.22","1","CC","0","0","0","0","0","F"
"38","Y","48073","F","11888","Married","Family Military","119","0","0.00","125.31","3","125.31","0.00","0","Auto","3","0","0","0","0","F"
"26","N","30197","F","11973","Single","Platinum","54","1","0.00","89.61","17","89.19","22.30","5","CC","0","29","4","0","0","T"
"24","Y","10341","F","1207","Single","Silver","39","1","0.00","42.82","17","42.82","0.00","0","Auto","0","13","3","0","0","T"
"25","Y","26673","M","1233","Married","Family Silver","16","1","21.77","82.88","17","81.01","8.11","2","CK","0","19","2","2","1","T"
"38","Y","845618","F","1269","Married","Family Platinum","7","1","17.98","144.12","3","141.55","0.00","0","Auto","3","1","1","4","2","T"
"26","Y","32635","M","1334","Married","Family Unlimited","62","0","44.37","171.05","17","170.33","0.00","0","Auto","5","0","0","2","1","F"
"29","Y","55907","M","1404","Single","Silver","33","0","53.25","41.80","17","40.06","4.01","2","CC","1","28","4","0","0","T"
"24","Y","23386","M","1458","Single","Gold","26","0","0.00","64.75","17","64.62","3.24","1","PP","0","10","2","2","1","F"
"22","Y","876115","F","1491","Single","Unlimited","32","1","28.16","101.26","3","100.06","10.01","2","PP","2","0","0","2","1","F"
"48","Y","87088","F","1496","Married","Family Silver","48","1","0.00","80.59","3","80.33","12.05","3","PP","3","0","0","2","1","T"
"30","Y","291963","M","1509","Single","Platinum","93","0","0.00","85.66","17","85.66","0.00","0","Auto","2","4","0","3","2","T"
"29","Y","7394","F","1510","Single","Gold","35","0","45.11","68.19","17","66.90","0.00","0","CC","2","0","0","2","1","F"
"34","N","14760","F","1530","Married","Family Military","57","0","0.00","123.91","17","123.69","12.37","2","CC","3","0","0","0","0","F"
"28","N","50305","F","1561","Single","Silver","6","0","0.00","43.56","3","43.56","0.00","0","Auto","1","1","1","0","0","F"
"19","Y","11527","F","1879","Single","Gold","5","0","0.00","61.48","17","61.48","0.00","0","CC","2","10","2","3","2","T"
"85","N","24253","F","1898","Married","Family Gold","109","0","1.72","115.98","17","115.48","51.97","9","CC","0","0","0","0","0","F"
"28","Y","96532","M","1915","Married","Family Military","82","1","47.33","129.14","3","127.47","89.23","14","CK","1","2","2","2","1","F"
"30","Y","33110","M","1926","Single","Silver","70","2","0.00","49.13","17","48.92","14.68","6","ACH","4","20","6","3","2","T"
"23","N","45255","M","1955","Single","Silver","5","1","0.00","45.93","17","45.93","0.00","0","CC","0","2","2","0","0","F"
"24","Y","8586","F","1988","Single","Unlimited","80","0","5.05","105.36","3","105.29","0.00","0","Auto","5","1","1","2","1","F"
"62","Y","28566","M","2002","Married","Family Platinum","45","0","2.64","145.05","3","144.50","21.68","3","CC","0","0","0","0","0","F"
"24","N","95383","F","2027","Single","Silver","45","0","45.15","43.50","17","42.40","4.24","2","CC","3","21","4","2","1","T"
"46","N","79177","M","2126","Married","Family Unlimited","14","0","0.00","172.28","17","172.28","0.00","0","CC","3","1","1","3","2","F"
"41","Y","65129","F","2222","Married","Family Platinum","103","1","0.00","143.16","3","142.60","57.04","8","CC","0","18","2","2","1","T"
"30","Y","2723","M","2231","Single","Platinum","33","0","0.00","88.55","3","88.55","0.00","0","Auto","3","1","0","2","1","F"
"23","N","172244","M","2232","Single","Gold","53","0","0.00","64.60","17","64.60","0.00","0","Auto","0","35","5","0","0","T"
"40","N","15444","F","2240","Married","Family Platinum","119","1","0.00","151.20","17","149.87","157.37","21","CK","1","16","4","0","0","T"
"51","Y","71023","F","2250","Married","Family Unlimited","118","5","25.97","175.50","3","174.61","78.58","9","CC","0","0","0","0","0","F"
"31","Y","77322","M","2330","Married","Family Military","49","1","0.00","123.71","3","123.71","0.00","0","Auto","0","4","0","0","0","F"
"41","N","52436","M","2340","Married","Family Gold","29","2","0.00","114.16","3","113.18","28.30","5","CK","3","4","4","4","2","T"
"29","N","27244","F","2365","Single","Gold","1","1","49.18","118.31","3","69.13","0.00","0","CC","0","0","0","0","0","F"
"49","N","45349","M","2370","Married","Family Unlimited","2","5","38.52","196.47","17","177.21","0.00","0","Auto","3","0","0","2","1","F"
"25","Y","630053","M","2371","Single","Platinum","16","0","39.29","84.81","3","82.09","4.11","1","CC","0","4","0","0","0","F"
"49","Y","77835","N","2382","Married","Family Unlimited","69","0","35.07","179.31","17","178.80","0.00","0","Auto","0","4","4","0","0","F"
"21","N","29923","F","2439","Single","Unlimited","44","1","23.43","103.91","3","103.37","0.00","0","Auto","4","11","2","2","1","T"
"42","Y","241183","F","2486","Married","Family Unlimited","14","2","3.88","172.72","3","171.82","8.60","1","CC","5","32","4","4","3","T"
"28","N","12140","M","2517","Married","Family Silver","61","1","0.00","80.94","17","80.94","0.00","0","CC","2","1","1","0","0","F"
"41","Y","42836","M","2654","Married","Family Gold","58","1","0.00","114.35","17","114.35","0.00","0","Auto","0","2","0","0","0","F"
"30","Y","4083","F","2672","Single","Platinum","69","0","0.00","83.90","3","83.59","20.90","5","CC","2","2","2","2","1","F"
"28","Y","625248","M","2697","Single","Silver","28","0","0.00","43.50","3","43.50","0.00","0","Auto","0","11","5","0","0","T"
"27","Y","44361","M","2741","Married","Family Platinum","66","2","0.00","149.34","17","148.77","37.20","5","CC","2","3","0","2","1","F"
"29","Y","51868","F","2764","Single","Unlimited","1","1","0.00","106.07","3","106.07","0.00","0","PP","3","0","0","2","1","F"
"21","Y","2651","M","2773","Single","Platinum","6","0","45.01","87.86","3","80.35","0.00","0","CC","2","0","0","2","1","F"
"36","N","54848","F","2780","Married","Family Platinum","6","0","0.00","148.77","3","148.77","0.00","0","Auto","1","0","0","0","0","F"
"52","Y","98863","F","2812","Married","Family Military","39","0","0.00","120.36","17","120.36","0.00","0","Auto","0","9","2","0","0","F"
"43","Y","35700","M","2814","Married","Family Military","44","1","0.00","128.56","17","127.54","44.64","7","CK","0","15","3","2","1","T"
"25","Y","90010","M","2835","Single","Platinum","21","0","0.00","85.54","3","84.93","12.74","3","CK","1","55","5","0","0","T"
"33","N","64296","F","2875","Married","Family Gold","9","0","0.00","111.02","17","111.02","0.00","0","ACH","1","0","0","0","0","F"
"25","Y","55559","M","2889","Married","Family Unlimited","53","1","0.00","175.01","17","175.01","0.00","0","Auto","4","0","0","2","1","F"
"46","Y","45771","F","2901","Married","Family Unlimited","63","1","33.94","175.39","3","173.33","95.34","11","CK","2","4","4","2","1","F"
"22","Y","81277","M","2906","Single","Gold","20","1","52.42","114.83","3","112.20","0.00","0","Auto","2","6","1","2","1","F"
"29","Y","30021","F","2945","Single","Gold","38","1","0.00","67.59","3","67.59","0.00","0","Auto","3","2","2","3","2","F"
"23","Y","1180","F","2996","Single","Platinum","71","0","0.00","84.83","17","84.53","21.14","5","CC","0","4","4","2","1","F"
"50","Y","88902","M","3003","Married","Family Military","22","1","46.55","129.64","17","127.23","6.37","1","CC","2","0","0","0","0","F"
"29","Y","89238","F","3005","Single","Platinum","96","0","0.00","81.45","3","81.45","0.00","0","Auto","1","4","4","0","0","F"
"48","N","53486","M","3070","Married","Family Unlimited","71","2","0.00","170.87","17","170.87","0.00","0","Auto","3","0","0","2","1","F"
"25","Y","73248","M","3109","Single","Unlimited","32","1","26.14","103.10","3","101.49","25.38","5","CK","3","42","6","0","0","T"
"26","Y","60942","M","3129","Single","Gold","80","0","0.00","63.06","17","62.51","43.76","14","CK","0","19","2","0","0","T"
"52","Y","5785","F","3145","Married","Family Military","87","8","0.00","214.20","3","214.20","0.00","0","Auto","5","0","0","7","4","T"
"28","Y","69162","F","3148","Married","Family Unlimited","39","1","0.00","177.02","17","176.79","8.84","1","CC","5","0","0","6","5","T"
"70","Y","41899","F","3153","Married","Family Silver","60","0","0.00","105.56","3","105.20","21.04","4","ACH","0","0","0","0","0","F"
"28","Y","114704","F","3188","Single","Platinum","24","1","25.03","83.51","3","82.46","0.00","0","Auto","0","1","1","1","0","F"
"18","Y","41852","M","3253","Single","Gold","11","0","48.87","72.82","17","68.37","0.00","0","CC","1","22","4","0","0","T"
"40","Y","15325","M","3297","Married","Family Gold","114","2","16.10","115.36","17","115.21","0.00","0","Auto","1","0","0","0","0","F"
"50","Y","5827","F","3322","Married","Family Unlimited","120","1","0.00","179.34","3","179.34","0.00","0","Auto","3","0","0","2","1","F"
"21","Y","890780","M","3372","Single","Gold","4","0","0.00","62.12","3","62.12","0.00","0","Auto","4","2","2","5","4","T"
"22","Y","19386","M","3395","Single","Platinum","46","2","0.00","80.61","3","80.34","12.06","3","CC","5","0","0","8","4","T"
"27","Y","35614","M","3401","Single","Unlimited","25","0","2.74","103.65","17","103.33","5.17","1","CC","4","0","0","7","4","T"
"18","Y","18686","F","3409","Single","Gold","6","0","48.28","137.65","17","129.60","0.00","0","Auto","2","12","2","2","1","T"
"42","Y","83620","M","3418","Married","Family Silver","24","0","0.00","88.24","17","88.24","0.00","0","CC","0","9","2","0","0","F"
"40","Y","79344","F","3515","Married","Family Platinum","46","2","0.00","143.10","17","143.10","0.00","0","ACH","0","0","0","0","0","F"
"39","Y","84505","F","3544","Married","Family Military","93","0","8.83","122.93","17","122.70","12.27","2","CC","3","0","0","4","2","T"
"23","N","80152","F","3625","Single","Platinum","43","0","0.02","86.73","3","86.72","0.00","0","Auto","0","3","3","1","0","F"
"48","Y","75521","M","3633","Married","Family Silver","88","2","43.54","135.74","3","134.70","47.15","7","CC","3","0","0","0","0","T"
"20","Y","74481","M","3655","Single","Silver","13","1","51.21","47.24","17","43.30","0.00","0","Auto","2","6","2","2","1","F"
"23","N","82333","M","3684","Single","Silver","69","2","0.00","45.34","3","45.34","0.00","0","Auto","1","0","0","0","0","F"
"30","N","608355","F","3686","Single","Unlimited","5","0","10.89","111.08","17","108.90","0.00","0","CC","5","11","4","6","3","T"
"27","Y","461","M","3727","Single","Gold","77","0","0.00","96.98","17","96.60","28.98","6","CC","0","0","0","0","0","F"
"19","Y","69039","M","3751","Single","Unlimited","19","0","44.90","111.53","3","109.16","0.00","0","Auto","0","0","0","0","0","F"
"29","Y","210813","M","3816","Married","Family Platinum","81","2","13.08","141.62","3","140.93","42.28","6","CC","0","1","1","2","1","F"
"34","Y","49988","F","3864","Married","Family Gold","64","0","50.55","113.62","3","112.39","28.10","5","CC","2","11","2","2","1","T"
"20","Y","840991","F","3918","Single","Unlimited","7","1","11.31","106.61","3","104.99","0.00","0","PP","0","1","1","0","0","F"
"25","Y","19321","M","4012","Married","Family Unlimited","75","2","2.53","174.26","3","173.64","43.41","5","CC","1","0","0","0","0","F"
"33","Y","31363","F","4025","Married","Family Platinum","30","1","0.00","145.95","3","145.46","14.55","2","CC","1","1","0","0","0","F"
"29","Y","158579","F","4032","Single","Unlimited","116","1","12.26","109.64","3","109.11","49.10","9","CC","3","1","1","2","1","T"
"45","Y","52826","M","4074","Married","Family Gold","69","5","34.07","112.12","17","111.14","33.35","6","ACH","0","0","0","2","1","F"
"72","N","31797","M","4090","Married","Family Silver","119","0","14.66","82.86","17","82.73","0.00","0","Auto","0","1","1","2","1","F"
"40","N","48567","M","4100","Married","Family Unlimited","84","2","0.00","180.10","17","178.50","133.88","15","CK","0","3","3","2","1","F"
"58","Y","16886","M","4121","Married","Family Platinum","86","0","0.00","147.29","3","147.29","0.00","0","Auto","2","2","2","2","1","F"
"20","N","33844","F","4191","Single","Gold","24","2","59.80","71.51","3","68.87","3.45","1","CC","3","21","2","2","1","T"
"29","N","156748","M","4205","Married","Family Gold","23","0","0.00","116.70","17","116.44","5.83","1","PP","2","0","0","0","0","F"
"34","N","6267","M","4230","Married","Family Gold","58","1","0.00","110.50","17","110.50","0.00","0","Auto","3","0","0","2","1","F"
"24","Y","23191","F","4238","Single","Silver","25","0","40.29","43.20","17","41.58","0.00","0","PP","2","13","3","3","2","T"
"27","Y","4114","M","4252","Single","Silver","99","0","0.00","40.86","3","40.86","0.00","0","Auto","0","2","2","2","1","F"
"28","Y","752673","F","4259","Single","Gold","71","0","46.86","67.69","17","66.93","6.70","2","CC","2","13","3","0","0","T"
"28","N","67295","M","4290","Married","Family Unlimited","20","0","0.00","170.52","3","170.52","0.00","0","Auto","2","0","0","2","1","F"
"27","Y","817238","M","4332","Married","Family Gold","57","0","0.00","120.34","3","119.29","59.65","10","CK","2","2","2","2","1","F"
"83","N","61468","M","4405","Married","Family Military","103","0","0.00","129.36","17","129.36","0.00","0","Auto","1","3","3","1","0","F"
"23","Y","5134","M","4456","Married","Family Gold","71","1","0.00","113.13","3","112.73","28.19","5","CC","3","3","0","2","1","F"
"54","Y","611235","M","4469","Married","Family Gold","67","1","0.00","114.02","3","113.00","67.80","12","CK","3","6","6","4","2","T"
"27","N","13314","M","4476","Single","Platinum","38","0","0.00","88.04","3","87.69","13.16","3","CC","2","0","0","2","1","F"
"19","Y","24946","M","4481","Single","Platinum","13","1","38.45","87.42","17","84.46","0.00","0","CC","3","0","0","4","2","T"
"25","N","31683","F","4494","Single","Unlimited","64","1","0.00","100.67","3","100.67","0.00","0","Auto","0","1","1","2","1","F"
"30","Y","67333","F","4555","Single","Unlimited","66","0","0.00","110.66","17","109.74","60.36","11","CK","2","31","4","2","1","T"
"52","Y","75050","F","4595","Married","Family Silver","104","1","0.00","84.77","17","84.48","29.57","7","CC","0","4","0","0","0","F"
"55","Y","13668","M","4684","Married","Family Silver","94","0","0.00","81.55","17","81.55","0.00","0","Auto","0","0","0","2","1","F"
"23","Y","47950","M","4700","Single","Gold","18","1","19.94","61.69","17","60.58","0.00","0","Auto","0","10","4","0","0","F"
"48","Y","1784","F","4709","Married","Family Unlimited","101","1","48.52","175.79","17","174.79","52.44","6","CC","2","0","0","2","1","F"
"22","Y","68481","F","4729","Single","Gold","13","0","0.00","69.52","17","69.25","3.47","1","CC","1","8","1","0","0","F"
"36","Y","8990","M","4757","Married","Family Military","23","0","43.76","129.93","17","128.02","0.00","0","Auto","1","1","0","0","0","F"
"46","N","53419","M","4773","Married","Family Gold","25","1","0.00","110.70","17","110.70","0.00","0","Auto","0","0","0","0","0","F"
"33","N","49512","M","4910","Married","Family Military","2","0","0.00","124.04","17","124.04","0.00","0","PP","0","3","0","0","0","F"
"26","Y","823832","M","4963","Married","Family Platinum","29","0","0.00","147.97","3","147.46","14.75","2","CC","3","0","0","2","1","T"
"23","N","13055","F","4985","Single","Unlimited","14","2","0.00","104.91","17","104.91","0.00","0","CC","0","15","2","2","1","T"
"50","N","15015","M","5012","Married","Family Unlimited","57","2","12.54","172.39","3","170.67","85.34","10","CK","3","5","5","0","0","F"
"39","N","73502","M","5038","Married","Family Silver","101","0","0.00","83.14","17","82.40","74.16","18","CK","0","5","5","0","0","F"
"23","N","225893","F","5041","Married","Family Platinum","28","2","38.97","144.69","17","143.29","0.00","0","CC","3","0","0","2","1","T"
"22","N","550148","F","5051","Single","Platinum","3","2","0.00","119.90","3","119.90","0.00","0","Auto","2","1","1","2","1","F"
"18","N","46582","M","5058","Single","Unlimited","9","0","10.05","174.42","3","173.30","0.00","0","Auto","4","3","0","2","1","F"
"30","N","202246","F","5121","Married","Family Gold","66","1","0.00","116.23","3","115.79","28.95","5","CC","3","1","0","2","1","T"
"33","Y","1368","F","5125","Married","Family Platinum","3","6","6.32","147.24","17","145.13","0.00","0","CC","0","0","0","2","1","F"
"29","Y","34492","M","5144","Single","Unlimited","106","0","0.00","104.75","3","103.81","98.62","19","CK","3","4","4","2","1","F"
"26","N","52108","F","5165","Single","Unlimited","36","1","0.00","101.02","3","100.74","10.08","2","CC","4","0","0","7","4","T"
"22","Y","11643","F","5179","Single","Unlimited","52","0","30.19","102.09","3","101.12","20.23","4","CC","1","2","2","0","0","F"
"32","N","91792","M","5194","Married","Family Platinum","12","0","0.00","144.94","3","144.94","0.00","0","CC","2","3","0","4","2","T"
"42","N","48695","F","5212","Married","Family Gold","12","0","29.84","114.18","3","110.77","11.08","2","CK","0","29","3","0","0","T"
"21","Y","83912","F","5213","Single","Gold","26","1","19.86","64.86","17","64.09","0.00","0","CC","0","4","4","0","0","F"
"22","Y","18949","M","5223","Single","Unlimited","28","0","3.12","104.04","17","103.74","5.19","1","CC","1","2","0","2","1","F"
"51","Y","99486","F","5231","Married","Family Military","23","0","4.46","128.31","3","128.11","0.00","0","Auto","0","4","0","0","0","F"
"30","Y","89709","M","5232","Married","Family Platinum","50","0","7.42","155.65","17","155.50","0.00","0","Auto","3","4","4","0","0","T"
"38","Y","95768","M","5239","Married","Family Platinum","44","1","0.00","148.88","17","148.54","14.86","2","CC","0","1","0","0","0","F"
"69","Y","59523","M","5282","Single","Platinum","79","0","4.31","81.27","17","80.50","56.35","14","CK","3","3","3","2","1","F"
"19","Y","80278","M","5289","Single","Gold","13","0","0.00","69.26","17","69.26","0.00","0","Auto","0","4","0","0","0","F"
"27","Y","659471","F","5376","Single","Unlimited","31","0","41.02","101.64","3","100.31","0.00","0","Auto","0","23","4","0","0","T"
"21","Y","21086","M","5377","Single","Gold","48","0","33.71","65.58","3","64.67","9.71","3","PP","0","6","1","2","1","F"
"54","Y","56634","M","5388","Married","Family Platinum","20","0","0.00","143.00","17","143.00","0.00","0","CC","0","0","0","0","0","F"
"30","Y","13666","F","5414","Married","Family Unlimited","89","0","0.00","178.59","17","178.18","35.64","4","CC","4","1","0","8","4","F"
"18","N","15519","F","5468","Single","Gold","4","0","38.70","78.83","17","69.15","0.00","0","Auto","0","13","4","0","0","T"
"34","Y","343978","M","5497","Married","Family Military","8","2","24.32","126.65","3","123.61","0.00","0","CC","0","0","0","0","0","F"
"35","N","890572","F","5508","Married","Family Military","92","9","12.25","126.53","17","126.32","6.32","1","CC","0","0","0","0","0","F"
"31","N","24103","M","5538","Married","Family Gold","58","0","22.65","120.63","3","119.82","23.97","4","CC","0","0","0","2","1","F"
"30","Y","13926","F","5606","Single","Gold","11","1","0.00","67.14","3","67.14","0.00","0","CC","2","0","0","1","0","F"
"35","Y","121302","M","5621","Married","Family Military","28","4","0.00","121.63","3","121.19","12.12","2","CC","0","4","0","0","0","F"
"30","Y","55023","F","5628","Single","Silver","55","0","32.35","40.79","17","40.20","0.00","0","ACH","0","4","0","0","0","F"
"19","N","64755","F","5635","Single","Silver","9","0","0.00","128.40","17","128.40","0.00","0","Auto","2","8","1","2","1","F"
"50","N","29061","M","5636","Married","Family Military","61","3","0.00","120.93","3","120.53","24.11","4","CC","2","0","0","2","1","F"
"18","N","70458","M","5723","Single","Unlimited","9","0","0.00","109.13","17","109.13","0.00","0","CC","1","1","1","2","0","F"
"33","Y","98770","M","5748","Married","Family Unlimited","19","1","0.00","176.76","3","176.29","8.82","1","CC","0","0","0","0","0","F"
"19","Y","72463","F","5773","Single","Unlimited","13","0","53.16","105.10","17","101.01","0.00","0","CC","1","3","3","0","0","F"
"26","Y","72966","F","5847","Married","Family Silver","76","3","13.88","87.04","17","86.80","4.34","1","ACH","1","4","0","2","0","F"
"28","Y","6067","M","6040","Single","Unlimited","101","1","33.29","102.72","17","101.48","91.34","18","CK","0","33","4","2","1","T"
