ID,DroppedCalls,SupportCallsYear,SupportCallsMonth,ComplaintsYear,ComplaintsMonth
1356,0,0,0,2,1
1357,0,6,6,2,1
1358,2,2,0,2,1
1359,5,0,0,5,4
1360,0,0,0,0,0
1361,3,2,2,3,2
1362,3,22,3,3,2
1363,0,0,0,0,0
1364,5,0,0,6,5
1365,0,0,0,2,1
1366,2,0,0,0,0
1367,0,12,3,2,1
1368,4,2,2,7,4
1369,2,0,0,2,1
1370,0,8,3,0,0
1371,4,0,0,4,3
1372,4,1,0,8,4
1373,2,3,3,2,1
1374,0,0,0,0,0
1375,2,1,0,2,1
1376,0,8,4,0,0
1377,3,3,3,2,1
1378,0,1,1,2,1
1379,0,4,0,0,0
1380,5,5,5,8,4
1381,0,0,0,2,1
1382,1,0,0,2,1
1383,5,0,0,5,4
1384,0,0,0,0,0
1385,3,0,0,2,1
1386,0,0,0,0,0
1387,0,3,3,0,0
1388,1,2,0,1,0
1389,1,0,0,0,0
1390,0,3,3,0,0
1391,2,3,0,0,0
1392,0,3,0,2,1
1393,5,1,1,3,2
1394,1,5,1,0,0
1395,2,0,0,2,1
1396,3,29,3,0,0
1397,3,5,5,2,1
1398,1,10,5,0,0
1399,0,4,4,0,0
1400,0,0,0,0,0
1401,4,2,0,2,1
1402,0,0,0,0,0
1403,3,21,5,2,1
1404,1,28,4,0,0
1405,2,0,0,2,1
1406,2,0,0,0,0
1407,3,16,3,4,2
1408,1,1,0,2,1
1409,3,4,4,3,2
1410,0,0,0,0,0
1411,0,8,2,0,0
1412,0,0,0,0,0
1413,0,7,1,0,0
1414,2,11,6,4,2
1415,1,3,0,2,1
1416,4,13,3,6,3
1417,0,2,0,0,0
1418,0,3,3,0,0
1419,1,0,0,0,0
1420,3,0,0,0,0
1421,3,23,3,3,2
1422,0,3,3,0,0
1423,3,6,6,0,0
1424,0,12,6,0,0
1425,4,0,0,7,4
1426,0,4,0,2,0
1427,1,8,2,0,0
1428,0,4,0,0,0
1429,5,4,4,2,1
1430,4,2,0,5,3
1431,2,0,0,2,1
1432,5,0,0,3,2
1433,2,0,0,3,2
1434,3,8,1,2,1
1435,2,0,0,2,0
1436,5,0,0,2,1
1437,1,1,1,2,1
1438,5,4,0,7,5
1439,3,3,3,2,1
1440,0,1,0,2,1
1441,2,4,0,2,1
1442,1,3,0,0,0
1443,0,1,0,2,1
1444,5,29,3,6,4
1445,4,0,0,2,1
1446,0,3,0,2,1
1447,0,0,0,2,1
1448,2,10,1,2,1
1449,0,1,0,0,0
1450,2,11,3,2,1
1451,1,4,0,2,1
1452,3,0,0,4,2
1453,0,26,5,0,0
1454,3,6,1,0,0
1455,0,0,0,0,0
1456,3,4,0,3,2
1457,3,35,5,2,1
1458,0,10,2,2,1
1459,0,3,3,0,0
1460,0,0,0,1,0
1461,2,4,0,4,2
1462,0,22,3,0,0
1463,2,1,0,3,2
1464,0,1,0,0,0
1465,0,0,0,0,0
1466,5,2,0,9,5
1467,1,2,0,0,0
1468,2,18,3,0,0
1469,1,6,1,2,1
1470,2,2,2,0,0
1471,3,14,3,2,1
1472,0,0,0,0,0
1473,1,14,3,0,0
1474,0,0,0,0,0
1475,5,0,0,5,3
1476,3,4,4,3,2
1477,2,4,0,0,0
1478,1,25,4,2,1
1479,3,3,3,0,0
1480,2,0,0,1,0
1481,0,0,0,2,1
1482,2,20,4,0,0
1483,2,0,0,2,1
1484,0,23,5,0,0
1485,0,10,4,2,1
1486,0,4,0,0,0
1487,4,0,0,6,3
1488,2,0,0,2,1
1489,0,3,0,2,0
1490,5,0,0,2,1
1491,2,0,0,2,1
1492,3,2,2,2,1
1493,2,1,0,0,0
1494,5,0,0,2,1
1495,4,10,2,2,1
1496,3,0,0,2,1
1497,4,11,4,8,4
1498,0,0,0,2,1
1499,2,5,5,4,2
1500,0,17,2,0,0
1501,0,5,5,0,0
1502,3,9,2,0,0
1503,1,4,4,2,1
1504,2,8,8,0,0
1505,0,2,0,0,0
1506,0,3,0,2,1
1507,4,0,0,6,3
1508,0,26,4,2,1
1509,2,4,0,3,2
1510,2,0,0,2,1
1511,1,1,1,2,1
1512,5,7,7,3,2
1513,0,2,2,2,1
1514,1,3,3,0,0
1515,1,0,0,0,0
1516,0,0,0,0,0
1517,0,0,0,2,1
1518,3,3,0,2,1
1519,5,0,0,2,1
1520,3,6,6,2,1
1521,0,0,0,0,0
1522,1,0,0,0,0
1523,2,0,0,0,0
1524,1,0,0,0,0
1525,0,2,0,0,0
1526,5,6,6,4,2
1527,0,6,6,0,0
1528,5,21,2,8,4
1529,0,2,2,0,0
1530,3,0,0,0,0
1531,5,4,4,2,1
1532,0,0,0,0,0
1533,1,2,2,0,0
1534,0,0,0,0,0
1535,1,2,2,2,1
1536,3,2,2,2,1
1537,3,0,0,2,1
1538,0,0,0,2,1
1539,0,1,1,0,0
1540,3,1,0,3,2
1541,0,1,0,0,0
1542,0,3,0,2,1
1543,0,2,2,0,0
1544,4,1,1,2,1
1545,4,2,2,6,4
1546,0,0,0,0,0
1547,2,11,1,4,2
1548,1,0,0,0,0
1549,5,2,0,5,3
1550,5,10,2,5,3
1551,0,3,3,0,0
1552,4,0,0,6,4
1553,3,18,2,4,2
1554,0,0,0,0,0
1555,4,0,0,4,3
1556,3,26,5,0,0
1557,0,4,4,2,1
1558,0,0,0,0,0
1559,0,2,2,2,0
1560,4,3,0,5,4
1561,1,1,1,0,0
1562,5,0,0,8,5
1563,2,0,0,3,2
1564,1,0,0,2,0
1565,5,4,4,4,2
1566,0,0,0,2,1
1567,4,12,2,6,4
1568,3,0,0,2,1
1569,1,0,0,0,0
1570,4,0,0,2,1
1571,0,0,0,0,0
1572,2,0,0,4,2
1573,1,6,6,0,0
1574,0,0,0,2,1
1575,3,2,2,2,1
1576,0,4,4,0,0
1577,3,23,4,0,0
1578,0,31,6,0,0
1579,0,4,0,0,0
1580,0,1,1,0,0
1581,3,20,3,2,1
1582,0,0,0,0,0
1583,0,3,3,2,1
1584,1,1,0,0,0
1585,0,0,0,0,0
1586,0,42,6,0,0
1587,0,0,0,0,0
1588,4,0,0,4,2
1589,5,16,3,7,4
1590,0,2,2,0,0
1591,4,3,0,3,2
1592,1,6,6,0,0
1593,0,1,1,0,0
1594,0,0,0,0,0
1595,0,0,0,2,0
1596,4,11,1,4,2
1597,2,1,0,2,1
1598,3,3,3,2,1
1599,0,3,3,0,0
1600,2,3,3,0,0
1601,2,5,1,2,1
1602,2,10,3,4,2
1603,3,0,0,4,2
1604,1,0,0,0,0
1605,3,4,4,0,0
1606,0,2,2,0,0
1607,0,7,7,0,0
1608,0,2,2,0,0
1609,0,29,5,0,0
1610,0,2,2,0,0
1611,0,0,0,2,0
1612,2,0,0,0,0
1613,3,0,0,0,0
1614,3,0,0,2,1
1615,2,14,2,2,1
1616,0,0,0,0,0
1617,4,0,0,6,4
1618,2,4,4,2,1
1619,0,1,1,0,0
1620,5,0,0,2,1
1621,3,0,0,2,1
1622,5,4,4,2,1
1623,5,31,6,7,4
1624,4,0,0,6,3
1625,1,0,0,0,0
1626,0,5,5,2,1
1627,1,0,0,0,0
1628,0,0,0,0,0
1629,2,0,0,0,0
1630,0,4,4,0,0
1631,4,0,0,7,4
1632,1,0,0,0,0
1633,1,1,1,0,0
1634,0,7,7,2,0
1635,1,3,0,0,0
1636,4,0,0,5,3
1637,0,0,0,0,0
1638,3,2,2,0,0
1639,1,0,0,0,0
1640,1,4,4,0,0
1641,0,5,5,0,0
1642,0,1,1,0,0
1643,0,0,0,0,0
1644,1,6,6,0,0
1645,3,0,0,2,1
1646,5,0,0,3,2
1647,3,0,0,4,2
1648,3,3,3,0,0
1649,4,2,0,4,2
1650,1,2,2,1,0
1651,3,0,0,2,1
1652,2,0,0,2,1
1653,0,0,0,2,1
1654,1,5,1,0,0
1655,3,15,2,0,0
1656,4,1,1,6,3
1657,1,1,1,0,0
1658,5,4,4,6,3
1659,0,3,0,0,0
1660,5,3,3,8,5
1661,3,1,1,2,0
1662,0,1,1,0,0
1663,1,12,2,1,0
1664,0,2,2,2,1
1665,0,4,0,0,0
1666,0,14,4,2,1
1667,4,1,1,3,2
1668,3,0,0,4,2
1669,2,8,1,2,1
1670,2,0,0,2,1
1671,5,16,3,6,3
1672,4,2,2,7,4
1673,2,4,0,2,1
1674,0,4,0,0,0
1675,0,0,0,0,0
1676,2,1,1,2,1
1677,0,0,0,0,0
1678,5,21,6,2,1
1679,0,0,0,0,0
1680,3,2,0,3,2
1681,2,11,6,2,1
1682,2,59,5,2,1
1683,5,25,5,2,1
1684,0,2,0,2,1
1685,0,0,0,2,0
1686,0,4,0,2,0
1687,0,5,5,2,0
1688,0,31,3,2,1
1689,0,18,4,0,0
1690,0,4,0,0,0
1691,2,2,2,1,0
1692,3,14,3,2,1
1693,4,0,0,4,2
1694,0,6,6,0,0
1695,0,0,0,0,0
1696,1,2,0,0,0
1697,4,3,0,3,2
1698,5,0,0,7,5
1699,0,2,2,2,1
1700,2,0,0,2,1
1701,0,1,1,0,0
1702,5,0,0,10,5
1703,0,0,0,1,0
1704,1,46,4,0,0
1705,5,1,0,2,1
1706,3,2,2,2,1
1707,3,0,0,2,1
1708,5,0,0,5,3
1709,0,0,0,0,0
1710,2,7,1,0,0
1711,0,0,0,0,0
1712,3,0,0,2,1
1713,0,0,0,2,1
1714,1,14,4,0,0
1715,0,3,0,2,1
1716,3,2,0,2,0
1717,2,1,1,2,1
1718,2,1,1,3,2
1719,3,8,8,0,0
1720,1,1,1,0,0
1721,3,0,0,3,2
1722,1,0,0,0,0
1723,1,0,0,0,0
1724,0,3,0,0,0
1725,2,4,4,2,1
1726,2,1,1,2,1
1727,1,1,1,1,0
1728,0,0,0,2,1
1729,4,1,1,3,2
1730,0,0,0,1,0
1731,3,2,2,2,1
1732,0,6,6,0,0
1733,0,1,1,0,0
1734,0,0,0,0,0
1735,0,23,3,0,0
1736,4,34,5,5,4
1737,1,1,1,0,0
1738,1,3,0,0,0
1739,3,17,4,2,1
1740,0,5,5,2,0
1741,0,14,2,2,1
1742,1,26,6,2,1
1743,2,2,2,4,2
1744,1,0,0,2,1
1745,0,60,7,2,1
1746,0,2,0,0,0
1747,0,0,0,0,0
1748,3,1,1,2,1
1749,0,0,0,0,0
1750,1,2,2,0,0
1751,0,0,0,0,0
1752,0,27,6,2,1
1753,2,2,0,2,1
1754,0,33,6,0,0
1755,0,8,3,0,0
1756,2,2,2,4,2
1757,2,1,0,2,1
1758,1,2,2,0,0
1759,0,4,0,0,0
1760,5,3,0,2,1
1761,3,8,2,2,0
1762,5,0,0,2,1
1763,1,2,2,0,0
1764,3,1,1,2,1
1765,2,0,0,2,1
1766,0,0,0,2,0
1767,0,0,0,0,0
1768,0,0,0,2,1
1769,0,1,1,0,0
1770,3,2,0,0,0
1771,0,4,0,0,0
1772,5,0,0,3,2
1773,2,4,0,0,0
1774,1,0,0,0,0
1775,4,0,0,2,1
1776,2,11,2,4,2
1777,1,4,0,2,0
1778,0,3,0,0,0
1779,0,0,0,2,1
1780,0,0,0,0,0
1781,4,0,0,2,1
1782,2,0,0,2,1
1783,2,0,0,2,1
1784,1,0,0,0,0
1785,0,3,3,0,0
1786,0,25,3,2,1
1787,0,0,0,0,0
1788,0,2,0,0,0
1789,3,0,0,4,2
1790,0,1,1,2,0
1791,5,1,1,6,5
1792,3,0,0,0,0
1793,1,0,0,0,0
1794,2,0,0,2,1
1795,1,11,1,2,1
1796,0,0,0,0,0
1797,1,10,2,1,0
1798,0,2,2,0,0
1799,2,3,3,4,2
1800,0,13,3,2,1
1801,3,1,1,4,2
1802,4,4,0,2,1
1803,1,0,0,0,0
1804,5,0,0,7,4
1805,0,2,2,0,0
1806,0,0,0,0,0
1807,4,2,2,4,2
1808,3,10,2,0,0
1809,1,30,4,0,0
1810,3,1,1,2,1
1811,2,2,2,3,2
1812,0,0,0,2,0
1813,1,10,2,1,0
1814,2,26,3,3,2
1815,5,2,2,2,1
1816,0,3,3,0,0
1817,3,0,0,0,0
1818,1,0,0,0,0
1819,1,19,4,0,0
1820,0,0,0,1,0
1821,3,2,2,2,0
1822,0,0,0,2,1
1823,0,2,0,0,0
1824,4,12,4,2,1
1825,5,2,0,2,1
1826,2,1,1,4,2
1827,0,33,6,2,1
1828,0,1,1,0,0
1829,0,22,2,0,0
1830,0,2,2,0,0
1831,3,0,0,4,2
1832,2,23,4,2,1
1833,2,0,0,2,1
1834,3,8,1,4,2
1835,0,9,3,0,0
1836,2,12,2,2,1
1837,3,2,0,2,1
1838,0,3,3,0,0
1839,0,2,2,0,0
1840,3,4,0,2,1
1841,0,0,0,0,0
1842,0,1,1,0,0
1843,5,14,2,6,3
1844,0,4,0,2,1
1845,0,8,2,0,0
1846,0,0,0,1,0
1847,0,2,0,2,1
1848,0,5,5,2,1
1849,1,2,2,0,0
1850,3,4,4,4,2
1851,0,1,0,2,0
1852,1,0,0,2,1
1853,1,0,0,2,1
1854,0,0,0,0,0
1855,3,0,0,2,1
1856,2,4,4,0,0
1857,0,2,2,2,1
1858,1,2,2,0,0
1859,1,0,0,0,0
1860,3,0,0,2,1
1861,0,11,6,2,0
1862,0,0,0,0,0
1863,3,0,0,2,1
1864,4,1,1,8,4
1865,5,9,4,5,3
1866,0,0,0,2,1
1867,0,4,0,0,0
1868,2,3,0,3,2
1869,0,87,8,0,0
1870,0,11,1,0,0
1871,3,0,0,2,1
1872,0,5,2,0,0
1873,1,0,0,0,0
1874,2,3,0,4,2
1875,0,6,2,2,1
1876,3,13,2,2,1
1877,1,0,0,0,0
1878,3,5,5,4,2
1879,2,10,2,3,2
1880,0,20,4,0,0
1881,0,0,0,0,0
1882,0,10,2,0,0
1883,0,3,3,0,0
1884,2,4,0,4,2
1885,0,0,0,0,0
1886,0,0,0,0,0
1887,3,13,3,2,1
1888,0,2,2,0,0
1889,4,29,5,5,4
1890,1,1,1,2,1
1891,5,0,0,4,2
1892,0,42,4,2,1
1893,0,2,2,0,0
1894,0,0,0,0,0
1895,4,8,1,5,3
1896,0,1,1,0,0
1897,2,28,3,2,1
1898,0,0,0,0,0
1899,0,4,0,2,1
1900,4,23,3,7,4
1901,0,34,7,2,1
1902,2,4,4,2,1
1903,4,3,3,6,3
1904,2,0,0,3,2
1905,2,4,4,4,2
1906,0,32,4,0,0
1907,0,4,4,0,0
1908,5,10,4,6,4
1909,0,0,0,0,0
1910,0,11,2,0,0
1911,3,17,3,2,1
1912,3,0,0,0,0
1913,3,4,0,2,1
1914,2,3,3,2,1
1915,1,2,2,2,1
1916,1,1,1,1,0
1917,2,3,3,4,2
1918,0,4,4,0,0
1919,3,2,0,2,1
1920,1,0,0,2,1
1921,4,4,0,4,3
1922,0,3,0,0,0
1923,3,2,2,3,2
1924,4,0,0,6,3
1925,3,1,0,2,1
1926,4,20,6,3,2
1927,1,2,2,2,1
1928,5,0,0,6,5
1929,0,2,0,0,0
1930,0,7,1,0,0
1931,0,2,0,0,0
1932,0,3,0,0,0
1933,5,1,1,7,4
1934,3,2,2,3,2
1935,3,3,3,4,2
1936,0,9,1,0,0
1937,0,36,4,2,1
1938,2,22,8,2,1
1939,3,0,0,2,1
1940,2,14,4,2,1
1941,2,0,0,3,2
1942,0,4,4,0,0
1943,2,13,3,4,2
1944,0,1,0,0,0
1945,4,0,0,3,2
1946,0,5,5,2,1
1947,3,3,3,3,2
1948,4,0,0,4,2
1949,0,0,0,0,0
1950,1,3,3,2,1
1951,0,6,6,0,0
1952,1,1,1,0,0
1953,4,0,0,6,3
1954,1,23,4,0,0
1955,0,2,2,0,0
1956,3,4,4,2,1
1957,0,4,0,2,1
1958,3,25,4,2,1
1959,0,13,2,2,0
1960,2,0,0,2,1
1961,0,21,3,0,0
1962,3,4,4,4,2
1963,0,0,0,0,0
1964,3,3,0,2,1
1965,3,3,3,2,1
1966,0,17,2,2,1
1967,0,1,1,0,0
1968,5,0,0,2,1
1969,1,0,0,2,0
1970,0,60,6,0,0
1971,2,0,0,2,1
1972,0,3,3,0,0
1973,0,6,2,0,0
1974,3,0,0,0,0
1975,0,0,0,0,0
1976,0,0,0,2,1
1977,1,27,4,0,0
1978,5,0,0,4,3
1979,5,2,2,2,1
1980,0,32,3,0,0
1981,3,2,2,4,2
1982,2,3,0,2,1
1983,0,10,1,0,0
1984,3,11,2,3,2
1985,1,0,0,0,0
1986,1,11,2,0,0
1987,1,0,0,0,0
1988,5,1,1,2,1
1989,0,1,1,2,1
1990,2,11,1,2,1
1991,2,2,2,2,1
1992,2,0,0,2,1
1993,0,1,0,0,0
1994,0,4,0,0,0
1995,2,2,2,4,2
1996,4,20,2,5,3
1997,0,51,6,0,0
1998,0,4,4,0,0
1999,0,0,0,0,0
2000,1,9,1,0,0
2001,1,0,0,0,0
2002,0,0,0,0,0
2003,4,2,2,3,2
2004,2,0,0,2,1
2005,1,10,2,0,0
2006,0,0,0,0,0
2007,0,1,1,0,0
2008,1,2,2,2,1
2009,2,16,2,2,1
2010,2,0,0,4,2
2011,3,0,0,0,0
2012,1,6,6,2,1
2013,0,19,2,0,0
2014,2,3,0,2,1
2015,0,2,0,2,1
2016,0,0,0,0,0
2017,0,2,2,0,0
2018,5,4,4,8,4
2019,3,0,0,2,1
2020,0,0,0,1,0
2021,5,0,0,2,1
2022,1,0,0,0,0
2023,0,2,0,0,0
2024,2,22,4,0,0
2025,0,1,0,2,1
2026,4,2,2,3,2
2027,3,21,4,2,1
2028,1,2,0,0,0
2029,2,3,3,4,2
2030,3,1,1,2,1
2031,2,2,0,0,0
2032,2,2,0,3,2
2033,3,0,0,2,1
2034,4,3,0,5,3
2035,4,0,0,3,2
2036,0,11,1,2,1
2037,0,12,2,0,0
2038,3,22,4,3,2
2039,1,1,1,0,0
2040,1,2,2,0,0
2041,0,4,4,0,0
2042,0,0,0,0,0
2043,1,2,2,0,0
2044,0,3,3,1,0
2045,0,11,4,0,0
2046,3,0,0,0,0
2047,0,17,3,0,0
2048,1,0,0,0,0
2049,1,0,0,0,0
2050,2,11,2,0,0
2051,0,0,0,0,0
2052,2,1,0,2,1
2053,1,4,0,0,0
2054,2,0,0,2,1
2055,0,0,0,2,1
2056,0,0,0,0,0
2057,0,0,0,0,0
2058,0,3,3,2,1
2059,3,0,0,2,1
2060,0,11,2,2,1
2061,0,0,0,0,0
2062,0,2,0,0,0
2063,4,3,0,3,2
2064,0,0,0,0,0
2065,0,0,0,0,0
2066,5,0,0,7,4
2067,0,23,2,0,0
2068,4,0,0,4,3
2069,4,2,2,2,1
